%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82916.772,300.085,0.886,1.159,-152.534,103.366,0.500
82916.772,300.087,0.965,1.319,-152.501,103.356,0.500
82912.740,300.085,1.123,1.479,-152.518,103.366,0.500
82912.740,300.087,0.965,1.159,-152.501,103.377,0.500
82916.772,300.085,0.886,1.319,-152.550,103.399,0.500
82920.803,300.085,0.886,1.319,-152.534,103.377,0.500
82916.772,300.082,0.807,1.319,-152.518,103.356,0.500
82908.709,300.083,0.965,1.319,-152.518,103.366,0.500
82912.740,300.082,0.886,1.319,-152.534,103.356,0.500
82924.834,300.083,0.965,0.999,-152.534,103.345,0.500
82916.772,300.082,0.807,1.319,-152.518,103.377,0.500
82920.803,300.087,0.965,1.159,-152.518,103.377,0.500
82912.740,300.083,0.965,1.479,-152.518,103.366,0.500
82908.709,300.083,0.886,1.319,-152.534,103.377,0.500
82912.740,300.083,0.965,1.479,-152.501,103.356,0.500
82924.834,300.083,0.886,1.319,-152.518,103.366,0.500
82912.740,300.082,0.965,1.159,-152.518,103.366,0.500
82920.803,300.083,0.807,0.999,-152.534,103.377,0.500
82920.803,300.087,0.807,1.319,-152.518,103.366,0.500
82916.772,300.085,0.965,1.319,-152.550,103.356,0.500
82920.803,300.085,0.886,1.159,-152.501,103.345,0.500
82920.803,300.082,0.965,1.319,-152.518,103.366,0.500
82920.803,300.085,0.886,1.159,-152.534,103.366,0.500
82920.803,300.083,0.807,1.319,-152.534,103.366,0.500
82924.834,300.085,0.886,0.999,-152.534,103.356,0.500
82916.772,300.082,0.807,1.319,-152.518,103.366,0.500
82928.866,300.085,0.807,1.159,-152.518,103.377,0.500
82920.803,300.083,0.728,1.159,-152.534,103.366,0.500
82920.803,300.085,0.807,1.159,-152.534,103.366,0.500
82916.772,300.083,0.807,1.159,-152.518,103.377,0.500
82916.772,300.087,0.728,1.319,-152.550,103.366,0.500
82920.803,300.085,0.807,1.159,-152.501,103.377,0.500
82920.803,300.083,0.886,1.159,-152.518,103.388,0.500
82920.803,300.083,0.965,1.319,-152.534,103.356,0.500
82916.772,300.085,0.886,1.319,-152.534,103.366,0.500
82916.772,300.083,0.886,1.319,-152.550,103.366,0.500
82920.803,300.085,1.044,1.479,-152.518,103.366,0.500
82916.772,300.085,0.965,1.319,-152.518,103.366,0.500
82912.740,300.087,0.886,1.319,-152.518,103.345,0.500
82916.772,300.083,0.886,1.319,-152.534,103.377,0.500
82920.803,300.085,0.886,0.999,-152.550,103.377,0.500
82912.740,300.085,0.728,1.639,-152.518,103.377,0.500
82916.772,300.085,0.886,1.479,-152.501,103.356,0.500
82916.772,300.085,0.807,1.639,-152.534,103.356,0.500
82920.803,300.085,0.886,1.639,-152.550,103.356,0.500
82912.740,300.083,0.886,1.639,-152.550,103.388,0.500
82916.772,300.085,0.886,1.479,-152.550,103.388,0.500
82912.740,300.078,0.886,1.479,-152.485,103.356,0.500
82912.740,300.083,0.965,1.479,-152.501,103.377,0.500
82908.709,300.085,0.965,1.639,-152.550,103.366,0.500
82916.772,300.085,0.807,1.479,-152.534,103.377,0.500
82916.772,300.083,0.728,1.639,-152.518,103.377,0.500
82920.803,300.083,0.886,1.639,-152.534,103.377,0.500
82920.803,300.083,0.886,1.319,-152.534,103.377,0.500
82916.772,300.083,0.886,1.479,-152.534,103.377,0.500
82912.740,300.085,0.886,1.479,-152.485,103.388,0.500
82920.803,300.085,0.886,1.479,-152.534,103.377,0.500
82916.772,300.085,0.886,1.479,-152.550,103.366,0.500
82916.772,300.085,0.807,1.319,-152.534,103.366,0.500
82916.772,300.085,1.044,1.159,-152.518,103.377,0.500
82920.803,300.085,0.886,1.319,-152.534,103.366,0.500
82924.834,300.085,0.886,1.319,-152.518,103.377,0.500
82924.834,300.083,0.886,1.159,-152.518,103.388,0.500
82920.803,300.083,0.965,1.319,-152.518,103.366,0.500
82924.834,300.083,0.886,1.159,-152.534,103.366,0.500
82924.834,300.087,0.886,1.479,-152.567,103.377,0.500
82924.834,300.083,0.807,1.479,-152.534,103.356,0.500
82920.803,300.085,0.807,1.319,-152.518,103.345,0.500
82928.866,300.083,0.807,1.319,-152.534,103.377,0.500
82924.834,300.082,1.044,1.319,-152.534,103.366,0.500
82928.866,300.083,1.044,1.159,-152.550,103.388,0.500
82924.834,300.085,0.886,0.999,-152.501,103.377,0.500
82924.834,300.083,0.965,1.159,-152.518,103.377,0.500
82916.772,300.085,1.044,0.999,-152.501,103.366,0.500
82924.834,300.083,0.886,1.319,-152.518,103.377,0.500
82920.803,300.083,0.886,1.479,-152.534,103.366,0.500
82920.803,300.082,0.886,1.319,-152.534,103.377,0.500
82920.803,300.087,0.886,1.159,-152.534,103.366,0.500
82928.866,300.087,0.965,1.479,-152.501,103.366,0.500
82916.772,300.087,0.886,1.479,-152.550,103.356,0.500
82920.803,300.085,1.044,1.319,-152.485,103.366,0.500
82916.772,300.087,1.044,1.319,-152.534,103.366,0.500
82920.803,300.085,1.044,1.319,-152.534,103.356,0.500
82924.834,300.082,0.965,1.319,-152.518,103.356,0.500
82920.803,300.083,0.965,1.159,-152.518,103.356,0.500
82916.772,300.088,0.886,1.159,-152.501,103.356,0.500
82912.740,300.087,0.886,1.159,-152.534,103.345,0.500
82916.772,300.085,0.886,1.319,-152.534,103.356,0.500
82912.740,300.083,0.886,1.319,-152.518,103.356,0.500
82916.772,300.087,0.728,1.319,-152.534,103.356,0.500
82924.834,300.082,0.807,1.319,-152.518,103.366,0.500
82916.772,300.083,0.886,1.639,-152.534,103.366,0.500
82912.740,300.080,0.886,1.319,-152.534,103.366,0.500
82912.740,300.085,0.807,1.159,-152.518,103.366,0.500
82916.772,300.082,0.728,0.999,-152.518,103.377,0.500
82912.740,300.082,0.807,1.319,-152.534,103.356,0.500
82916.772,300.083,0.728,1.479,-152.534,103.388,0.500
82912.740,300.087,0.807,1.159,-152.534,103.356,0.500
82920.803,300.083,0.807,1.159,-152.550,103.377,0.500
82920.803,300.087,0.807,1.159,-152.550,103.377,0.500
82916.772,300.085,0.649,1.159,-152.518,103.366,0.500
82916.772,300.087,0.649,1.159,-152.518,103.366,0.500
82920.803,300.087,0.649,1.319,-152.518,103.377,0.500
82916.772,300.087,0.807,1.479,-152.518,103.366,0.500
82916.772,300.087,0.728,0.999,-152.550,103.345,0.500
82920.803,300.085,0.807,1.159,-152.518,103.356,0.500
82916.772,300.085,0.807,1.159,-152.518,103.388,0.500
82920.803,300.083,0.728,0.999,-152.518,103.377,0.500
82920.803,300.085,0.649,0.999,-152.534,103.377,0.500
82924.834,300.087,0.649,0.839,-152.501,103.388,0.500
82916.772,300.088,0.649,1.159,-152.534,103.366,0.500
82920.803,300.085,0.728,0.839,-152.501,103.377,0.500
82916.772,300.085,0.570,0.999,-152.518,103.377,0.500
82912.740,300.087,0.807,0.999,-152.518,103.377,0.500
82916.772,300.083,0.728,0.999,-152.550,103.377,0.500
82912.740,300.083,0.807,0.999,-152.534,103.366,0.500
82920.803,300.085,0.649,1.319,-152.518,103.356,0.500
82916.772,300.085,0.728,0.999,-152.534,103.356,0.500
82916.772,300.087,0.649,0.999,-152.534,103.377,0.500
82912.740,300.085,0.728,0.839,-152.518,103.377,0.500
82908.709,300.085,0.728,0.999,-152.534,103.356,0.500
82912.740,300.083,0.807,0.839,-152.550,103.388,0.500
82912.740,300.083,0.649,1.159,-152.518,103.377,0.500
82912.740,300.085,0.570,1.159,-152.518,103.377,0.500
82920.803,300.088,0.649,0.839,-152.534,103.356,0.500
82916.772,300.085,0.649,0.679,-152.501,103.366,0.500
82920.803,300.085,0.807,0.999,-152.501,103.366,0.500
82916.772,300.087,0.649,1.159,-152.518,103.377,0.500
82916.772,300.082,0.649,0.999,-152.534,103.377,0.500
82912.740,300.085,0.728,0.839,-152.501,103.388,0.500
82912.740,300.085,0.728,0.999,-152.518,103.356,0.500
82912.740,300.082,0.728,1.159,-152.518,103.345,0.500
82920.803,300.085,0.728,0.839,-152.518,103.366,0.500
82912.740,300.085,0.649,0.999,-152.534,103.377,0.500
82916.772,300.083,0.728,0.999,-152.518,103.366,0.500
82916.772,300.085,0.728,0.839,-152.501,103.366,0.500
82912.740,300.082,0.807,1.159,-152.534,103.377,0.500
82920.803,300.082,0.807,0.839,-152.534,103.366,0.500
82912.740,300.085,0.807,0.999,-152.501,103.377,0.500
82916.772,300.087,0.728,0.839,-152.518,103.366,0.500
82920.803,300.082,0.886,1.159,-152.501,103.366,0.500
82920.803,300.083,0.649,0.839,-152.501,103.366,0.500
82916.772,300.085,0.807,1.319,-152.518,103.388,0.500
82912.740,300.082,0.807,0.679,-152.534,103.377,0.500
82924.834,300.082,0.807,0.999,-152.501,103.356,0.500
82920.803,300.083,0.728,1.159,-152.518,103.366,0.500
82920.803,300.082,0.807,1.159,-152.518,103.366,0.500
82924.834,300.082,0.886,0.999,-152.518,103.377,0.500
82924.834,300.082,0.886,1.159,-152.534,103.366,0.500
82924.834,300.082,0.807,1.319,-152.534,103.366,0.500
82924.834,300.082,0.807,1.319,-152.518,103.399,0.500
82928.866,300.083,0.886,0.839,-152.518,103.366,0.500
82920.803,300.082,0.807,1.319,-152.501,103.366,0.500
82924.834,300.080,0.728,1.159,-152.534,103.366,0.500
82924.834,300.083,0.965,1.159,-152.501,103.366,0.500
82928.866,300.082,0.807,1.319,-152.534,103.377,0.500
82924.834,300.082,0.807,1.479,-152.550,103.356,0.500
82928.866,300.083,0.886,1.479,-152.518,103.377,0.500
82928.866,300.085,0.728,1.479,-152.518,103.366,0.500
82928.866,300.082,0.807,1.319,-152.518,103.377,0.500
82924.834,300.083,0.886,1.159,-152.518,103.366,0.500
82928.866,300.082,0.965,1.639,-152.518,103.366,0.500
82924.834,300.085,0.886,1.479,-152.518,103.356,0.500
82932.897,300.083,0.807,1.479,-152.518,103.399,0.500
82924.834,300.083,0.728,1.479,-152.534,103.377,0.500
82924.834,300.085,0.807,1.159,-152.501,103.388,0.500
82924.834,300.083,0.807,1.319,-152.550,103.377,0.500
82920.803,300.083,0.807,1.639,-152.550,103.356,0.500
82924.834,300.087,0.649,1.319,-152.518,103.366,0.500
82924.834,300.082,0.728,1.319,-152.518,103.388,0.500
82920.803,300.082,0.649,1.319,-152.518,103.377,0.500
82916.772,300.082,0.570,1.319,-152.534,103.377,0.500
82920.803,300.083,0.570,0.999,-152.550,103.366,0.500
82924.834,300.078,0.570,0.999,-152.534,103.377,0.500
82916.772,300.078,0.570,1.319,-152.518,103.377,0.500
82912.740,300.078,0.649,0.999,-152.501,103.377,0.500
82912.740,300.082,0.570,1.159,-152.534,103.356,0.500
82904.677,300.077,0.649,1.319,-152.534,103.377,0.500
82908.709,300.083,0.570,1.159,-152.518,103.377,0.500
82912.740,300.080,0.570,1.159,-152.501,103.356,0.500
82912.740,300.080,0.570,1.159,-152.518,103.366,0.500
82916.772,300.082,0.570,0.999,-152.518,103.366,0.500
82920.803,300.082,0.491,1.159,-152.550,103.366,0.500
82912.740,300.080,0.333,1.319,-152.518,103.366,0.500
82916.772,300.082,0.728,0.999,-152.501,103.377,0.500
82916.772,300.082,0.491,0.999,-152.534,103.388,0.500
82920.803,300.078,0.491,1.159,-152.501,103.366,0.500
82908.709,300.078,0.570,1.159,-152.534,103.356,0.500
82912.740,300.082,0.570,1.159,-152.501,103.366,0.500
82916.772,300.080,0.570,0.999,-152.550,103.377,0.500
82916.772,300.082,0.649,1.159,-152.518,103.356,0.500
82916.772,300.082,0.570,1.159,-152.550,103.377,0.500
82924.834,300.083,0.728,0.839,-152.501,103.377,0.500
82924.834,300.082,0.570,1.159,-152.518,103.377,0.500
82924.834,300.083,0.649,1.319,-152.534,103.366,0.500
82924.834,300.082,0.491,0.999,-152.518,103.356,0.500
82924.834,300.082,0.649,1.319,-152.550,103.377,0.500
82924.834,300.082,0.570,1.159,-152.550,103.366,0.500
82916.772,300.082,0.649,1.159,-152.550,103.366,0.500
82920.803,300.085,0.728,1.159,-152.518,103.366,0.500
82924.834,300.085,0.728,1.319,-152.550,103.366,0.500
82924.834,300.083,0.728,1.159,-152.518,103.356,0.500
82924.834,300.085,0.728,0.999,-152.534,103.366,0.500
82924.834,300.087,0.728,0.999,-152.518,103.388,0.500
82924.834,300.085,0.807,1.159,-152.534,103.377,0.500
82920.803,300.087,0.807,1.159,-152.518,103.356,0.500
82928.866,300.085,0.807,1.319,-152.534,103.366,0.500
82920.803,300.088,0.649,1.319,-152.534,103.377,0.500
82924.834,300.085,0.886,1.319,-152.534,103.377,0.500
82916.772,300.087,0.886,1.639,-152.518,103.366,0.500
82924.834,300.085,0.965,1.319,-152.550,103.377,0.500
82920.803,300.087,0.965,1.319,-152.518,103.366,0.500
82924.834,300.085,1.044,1.479,-152.534,103.366,0.500
82924.834,300.087,1.044,1.319,-152.518,103.356,0.500
82916.772,300.085,0.965,1.319,-152.534,103.366,0.500
82924.834,300.083,1.044,1.639,-152.518,103.366,0.500
82924.834,300.087,0.965,1.319,-152.518,103.377,0.500
82924.834,300.085,0.886,1.319,-152.518,103.366,0.500
82932.897,300.087,1.044,1.479,-152.534,103.366,0.500
82920.803,300.087,1.044,1.319,-152.534,103.356,0.500
82924.834,300.088,1.044,1.319,-152.501,103.366,0.500
82924.834,300.087,1.044,1.319,-152.534,103.377,0.500
82924.834,300.083,0.965,1.479,-152.518,103.366,0.500
82924.834,300.083,0.965,1.639,-152.550,103.366,0.500
82916.772,300.085,0.965,0.999,-152.550,103.366,0.500
82932.897,300.087,1.044,1.319,-152.518,103.366,0.500
82920.803,300.087,1.044,1.639,-152.518,103.377,0.500
82924.834,300.085,1.044,1.639,-152.501,103.366,0.500
82920.803,300.082,1.044,1.639,-152.518,103.366,0.500
82916.772,300.083,1.123,0.999,-152.534,103.377,0.500
82928.866,300.082,0.965,1.159,-152.550,103.377,0.500
82920.803,300.083,1.044,1.319,-152.550,103.377,0.500
82916.772,300.082,0.886,1.639,-152.501,103.366,0.500
82920.803,300.082,0.965,1.319,-152.518,103.366,0.500
82924.834,300.082,1.123,1.319,-152.501,103.377,0.500
82920.803,300.083,0.886,1.479,-152.550,103.356,0.500
82916.772,300.082,1.123,1.159,-152.518,103.356,0.500
82916.772,300.083,1.044,1.319,-152.501,103.377,0.500
82916.772,300.083,0.965,1.479,-152.534,103.377,0.500
82924.834,300.080,0.886,1.159,-152.534,103.388,0.500
82920.803,300.082,0.807,1.159,-152.550,103.366,0.500
82920.803,300.082,0.886,0.999,-152.534,103.366,0.500
82912.740,300.082,0.886,0.999,-152.518,103.377,0.500
82920.803,300.082,0.965,0.999,-152.501,103.366,0.500
82920.803,300.078,0.807,0.999,-152.534,103.388,0.500
82916.772,300.082,0.807,0.999,-152.534,103.356,0.500
82912.740,300.080,0.886,0.999,-152.550,103.366,0.500
82916.772,300.082,0.807,1.159,-152.567,103.388,0.500
82924.834,300.082,0.728,1.159,-152.550,103.366,0.500
82920.803,300.082,0.807,0.839,-152.518,103.377,0.500
82916.772,300.082,0.886,0.999,-152.534,103.356,0.500
82916.772,300.082,1.044,0.999,-152.534,103.377,0.500
82920.803,300.083,0.807,0.999,-152.550,103.356,0.500
82908.709,300.083,0.728,0.839,-152.534,103.366,0.500
82916.772,300.083,0.965,0.999,-152.518,103.366,0.500
82912.740,300.082,0.807,0.679,-152.534,103.366,0.500
82912.740,300.082,0.570,0.519,-152.534,103.366,0.500
82912.740,300.085,0.728,0.679,-152.550,103.356,0.500
82908.709,300.082,0.649,0.679,-152.518,103.345,0.500
82916.772,300.085,0.649,0.999,-152.550,103.377,0.500
82916.772,300.082,0.807,0.999,-152.534,103.377,0.500
82916.772,300.083,0.649,0.999,-152.534,103.366,0.500
82908.709,300.082,0.728,1.159,-152.518,103.366,0.500
82912.740,300.083,0.570,0.839,-152.534,103.356,0.500
82912.740,300.083,0.649,0.839,-152.501,103.377,0.500
82912.740,300.085,0.728,1.159,-152.534,103.366,0.500
82904.677,300.087,0.807,0.839,-152.501,103.366,0.500
82908.709,300.083,0.728,0.999,-152.550,103.356,0.500
82912.740,300.082,0.649,0.999,-152.550,103.388,0.500
82912.740,300.083,0.728,1.319,-152.550,103.356,0.500
82908.709,300.082,0.728,1.159,-152.501,103.377,0.500
82916.772,300.085,0.649,1.319,-152.534,103.366,0.500
82908.709,300.080,0.728,1.319,-152.534,103.366,0.500
82912.740,300.082,0.807,1.159,-152.534,103.377,0.500
82912.740,300.085,0.728,1.319,-152.518,103.366,0.500
82920.803,300.083,0.728,1.159,-152.550,103.366,0.500
82916.772,300.083,0.886,1.639,-152.534,103.377,0.500
82920.803,300.087,0.649,1.159,-152.518,103.366,0.500
82916.772,300.083,0.728,1.319,-152.534,103.377,0.500
82916.772,300.082,0.649,1.319,-152.518,103.366,0.500
82920.803,300.085,0.649,1.799,-152.550,103.356,0.500
82924.834,300.082,0.649,1.319,-152.534,103.377,0.500
82924.834,300.083,0.886,1.319,-152.550,103.356,0.500
82924.834,300.087,0.728,1.479,-152.534,103.377,0.500
